CreditScore,Region,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
694,North India,Male,41,5,2097325.38,2,1,0,446555.54,0
603,South India,Male,34,7,1288900.71,2,0,1,962243.57,0
752,West India,Female,43,2,479277.81,2,1,1,786907.16,0
751,East India,Male,52,3,0.0,1,0,1,623011.04,0
633,West India,Female,33,7,5281243.88,1,1,1,661223.4,1
714,West India,Male,33,10,461365.69,2,1,1,315533.53,0
749,West India,Male,53,9,271942.45,1,1,1,544964.58,0
608,North India,Male,44,10,403416.77,2,0,0,333761.58,0
642,West India,Male,30,9,166210.56,2,1,0,333074.85,0
657,West India,Female,41,7,248363.72,1,1,1,1568417.39,0
551,South India,Male,30,5,699100.03,1,0,1,1755297.03,0
689,South India,Male,30,9,0.0,2,0,1,282726.97,0
742,West India,Male,38,5,721015.84,1,1,1,466349.9,0
637,West India,Male,18,8,153357.1,2,1,1,792087.53,0
680,North India,Female,18,7,804794.58,2,1,0,809702.1,0
775,West India,Male,29,2,312105.03,2,0,1,749071.39,0
613,West India,Female,24,6,0.0,3,1,0,977788.73,0
682,North India,Female,39,8,2066120.82,2,1,1,1009026.21,0
598,West India,Male,26,9,0.0,1,1,0,463061.45,0
596,North India,Male,20,10,1083835.4,1,1,0,821137.05,0
680,North India,Female,52,2,508317.49,2,1,1,925068.29,0
671,South India,Female,33,10,511790.91,1,0,0,605947.68,0
699,East India,Male,36,8,0.0,2,1,0,1608334.67,0
656,North India,Male,20,4,1016380.48,2,1,0,263136.95,0
691,West India,Male,30,9,192703.24,1,1,0,292618.43,0
799,South India,Male,37,8,99222.95,1,1,0,458910.82,0
745,West India,Male,23,0,332026.16,2,0,1,455996.42,1
680,West India,Male,40,3,0.0,2,1,1,168313.47,0
695,West India,Male,29,10,220872.74,1,0,0,365235.03,0
623,West India,Male,32,8,810976.51,2,0,0,683325.89,0
635,West India,Male,29,8,59681.48,2,1,1,877622.71,0
694,North India,Female,56,5,0.0,2,0,0,616275.99,0
657,North India,Female,35,9,841381.32,2,1,0,512066.37,1
721,North India,Female,24,5,1260559.2,2,1,1,576601.76,0
764,West India,Male,45,2,228345.33,2,0,0,1067675.37,0
640,North India,Female,22,9,108540.84,2,1,1,1267507.49,0
469,North India,Male,38,4,71315.7,1,1,1,738398.73,0
833,West India,Female,18,7,820694.03,2,1,1,535667.57,0
591,West India,Male,21,1,283895.13,1,1,0,718993.08,0
667,West India,Male,38,1,271721.56,1,1,1,664883.87,0
715,North India,Female,44,3,0.0,2,1,0,2455883.89,0
776,South India,Male,37,8,1604796.73,2,1,1,879774.35,0
812,North India,Female,34,4,46928.79,1,1,1,2010809.3,0
617,North India,Male,32,2,269885.74,1,0,1,509564.25,0
757,North India,Male,19,7,1079916.38,2,0,0,529424.54,0
667,South India,Male,28,10,835103.73,1,0,1,645327.21,0
896,North India,Female,30,6,431286.6,1,1,1,523230.28,0
749,South India,Male,47,8,2964705.42,2,1,0,312396.99,1
634,South India,Female,39,9,0.0,2,1,1,1195685.78,0
578,North India,Male,18,5,120016.89,1,1,0,579334.76,0
413,West India,Female,39,1,0.0,2,0,1,585480.61,0
710,West India,Male,31,0,0.0,1,0,1,988748.2,0
740,West India,Male,28,4,566656.92,2,0,0,917169.23,0
717,South India,Male,42,6,967129.68,2,1,0,284798.47,0
438,East India,Male,47,6,0.0,1,1,0,332668.2,0
536,East India,Male,46,1,0.0,2,1,0,820427.75,0
693,South India,Male,26,5,142140.34,2,1,1,1281009.66,0
810,South India,Male,32,0,0.0,1,1,1,341779.98,0
645,North India,Male,39,0,0.0,1,1,1,573043.69,0
748,West India,Male,46,1,587508.87,2,1,1,1002210.86,0
556,South India,Male,30,4,1151874.56,1,1,0,541361.7,0
668,East India,Male,33,9,1462443.24,1,1,1,445903.9,0
625,South India,Female,23,9,0.0,2,1,1,335556.09,0
756,East India,Female,22,1,483594.9,1,1,0,490970.12,0
601,West India,Male,44,9,94771.42,1,1,1,291713.14,0
800,East India,Female,50,2,324750.86,1,1,0,1143619.09,0
622,North India,Female,35,8,1679889.45,2,1,1,1079687.88,0
553,North India,Male,47,4,188225.34,1,1,1,282009.23,0
556,West India,Male,39,2,1388417.32,2,1,1,430827.85,0
593,West India,Female,28,4,142791.62,1,1,1,1444082.9,0
683,North India,Female,39,2,0.0,1,1,0,1067799.85,0
595,West India,Female,52,10,646139.74,2,1,0,557481.99,0
576,South India,Female,35,4,222750.23,2,0,1,271123.79,1
730,North India,Male,53,9,23045.37,2,1,1,345829.45,0
360,South India,Male,18,5,545834.74,1,1,1,835932.77,0
611,East India,Male,45,10,459068.25,2,1,0,1562700.29,0
529,South India,Male,36,8,1039681.56,2,1,1,782557.01,0
571,West India,Male,32,1,636847.52,1,1,1,687165.75,0
671,North India,Male,37,2,161567.69,1,1,0,922758.51,0
631,West India,Male,18,5,144172.33,2,1,0,246016.79,0
623,East India,Male,33,1,4143176.93,2,0,1,702429.29,1
757,South India,Male,39,7,480404.83,1,1,0,247904.42,0
648,North India,Male,52,9,0.0,1,0,1,204356.83,0
812,South India,Male,30,6,366388.53,2,1,1,675002.25,0
714,East India,Male,27,0,705264.83,1,0,0,874359.15,0
562,North India,Female,30,4,663906.53,1,1,1,282191.03,1
824,South India,Female,46,4,123291.64,2,1,1,453883.45,0
675,North India,Male,39,0,0.0,1,1,1,444218.47,0
818,South India,Male,30,5,2356767.43,2,1,1,729979.11,0
626,South India,Female,41,1,696222.06,1,1,1,709058.46,0
674,East India,Male,37,2,0.0,1,1,0,462485.17,0
688,South India,Female,46,4,0.0,1,1,1,349271.36,0
634,South India,Male,28,5,228932.26,2,1,0,527359.75,0
764,West India,Female,32,10,119029.62,1,1,1,484145.55,0
823,North India,Female,31,1,227433.32,1,1,1,829973.89,0
443,West India,Female,19,3,0.0,2,1,1,602974.38,0
723,West India,Male,39,2,1425019.08,1,1,1,1035956.82,0
569,North India,Female,38,0,0.0,1,0,0,597059.44,0
416,North India,Female,36,3,224674.41,1,1,1,581728.09,0
696,South India,Female,33,5,0.0,1,1,0,412382.82,0
696,South India,Male,20,9,213398.69,2,0,0,539894.12,0
711,North India,Female,31,6,43561.06,2,0,0,485335.0,1
